职位月薪,工作地点,工作性质,工作经验,最低学历,招聘人数,职位类别,公司规模,公司性质,公司行业
8001-10000元/月,北京-宣武区,全职,不限,大专,7人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,5人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,10人,储备经理人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,4人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,1人,数据分析师,1000-9999人,民营,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,不限,不限,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,硕士,6人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
4001-6000元/月,天津-西青区,全职,不限,不限,4人,数据分析师,10000人以上,上市公司,计算机软件
6001-8000元/月,北京-朝阳区,全职,不限,不限,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,本科,8人,助理/秘书/文员,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,4人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,西安,全职,不限,本科,1人,数据运营,1000-9999人,合资,互联网/电子商务
10001-15000元/月,北京-大兴区,全职,1年以下,硕士,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,不限,本科,3人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,综合业务专员/助理,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,10人,综合业务专员/助理,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,本科,8人,证券/投资客户代表,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-东城区,全职,不限,大专,6人,数据分析师,500-999人,股份制企业,互联网/电子商务
10001-15000元/月,北京,全职,不限,本科,8人,销售代表,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,不限,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,6人,数据分析师,500-999人,股份制企业,互联网/电子商务
10001-15000元/月,北京-朝阳区,全职,无经验,大专,8人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,大专,6人,证券/投资项目管理,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-丰台区,全职,不限,大专,6人,销售数据分析,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-崇文区,全职,不限,不限,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-西城区,全职,不限,不限,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,3人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-大兴区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,不限,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,不限,大专,3人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,5人,储备经理人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,10人,股票/期货操盘手,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,4人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-大兴区,全职,不限,本科,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,4人,证券/投资客户代表,100-499人,股份制企业,基金/证券/期货/投资
10000-15000元/月,上海,全职,不限,本科,1人,其他,100-499人,民营,互联网/电子商务
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-通州区,全职,不限,大专,5人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,6人,投资银行财务分析,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,苏州-工业园区,全职,1-3年,本科,1人,数据运营,10000人以上,民营,互联网/电子商务
8001-10000元/月,北京,全职,不限,本科,8人,广告创意/设计总监,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-崇文区,全职,不限,硕士,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,南京,全职,不限,本科,8人,金融/经济研究员,100-499人,民营,基金/证券/期货/投资
6001-8000元/月,天津,全职,不限,不限,2人,数据分析师,100-499人,民营,IT服务(系统/数据/维护)
6001-8000元/月,北京-西城区,全职,不限,大专,8人,投资/理财服务,500-999人,股份制企业,基金/证券/期货/投资
20001-30000元/月,北京-丰台区,全职,5-10年,大专,3人,客户经理,500-999人,合资,基金/证券/期货/投资
10001-15000元/月,济南,全职,3-5年,本科,1人,软件工程师,10000人以上,上市公司,通信/电信/网络设备
8001-10000元/月,北京-东城区,全职,不限,不限,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-东城区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
4001-6000元/月,天津,全职,不限,不限,2人,数据分析师,100-499人,股份制企业,互联网/电子商务
8000-12000元/月,昆明-官渡区,全职,3-5年,大专,1人,其他,500-999人,民营,通信/电信运营、增值服务
6001-8000元/月,深圳,全职,不限,大专,8人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,本科,4人,证券分析/金融研究,保密,保密,保密
面议,上海,全职,无经验,,若干,系统分析员,1000-9999人,合资,交通/运输
10001-15000元/月,北京-西城区,全职,不限,大专,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,5人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
20000-40000元/月,北京,全职,5-10年,本科,1人,数据分析师,100-499人,民营,计算机软件
8001-10000元/月,北京-崇文区,全职,1-3年,硕士,10人,证券/投资客户代表,500-999人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,6人,金融/经济研究员,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,4人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,1-3年,本科,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
15001-20000元/月,北京,全职,不限,本科,3人,互联网产品经理/主管,100-499人,合资,基金/证券/期货/投资
10001-15000元/月,北京-丰台区,全职,1年以下,硕士,2人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,5人,金融/经济研究员,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-西城区,全职,不限,大专,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-宣武区,全职,不限,大专,7人,金融/经济研究员,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-东城区,全职,不限,大专,8人,投资/理财服务,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,6人,助理/秘书/文员,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-西城区,全职,不限,大专,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,无经验,大专,7人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
15001-20000元/月,北京-朝阳区,全职,10年以上,大专,2人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
6001-8000元/月,深圳,全职,不限,中专,8人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,8人,房地产销售/置业顾问,500-999人,股份制企业,基金/证券/期货/投资
6000-12000元/月,深圳-福田区,全职,不限,大专,7人,证券分析/金融研究,100-499人,民营,基金/证券/期货/投资
15001-20000元/月,北京-宣武区,全职,不限,本科,3人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-丰台区,全职,不限,大专,8人,资产/资金管理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,4人,储备经理人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-大兴区,全职,不限,大专,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
15001-20000元/月,北京-海淀区,全职,不限,不限,1人,销售数据分析,100-499人,民营,教育/培训/院校
10001-15000元/月,北京-朝阳区,全职,1-3年,本科,7人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
4001-6000元/月,太原-小店区,全职,不限,大专,2人,数据库管理员,1000-9999人,上市公司,IT服务(系统/数据/维护)
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6000-12000元/月,北京-东城区,实习,不限,不限,7人,实习生,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,深圳-龙岗区,全职,1-3年,大专,1人,数据分析师,100-499人,民营,互联网/电子商务
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,投资银行财务分析,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-通州区,全职,不限,不限,10人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京-丰台区,全职,不限,本科,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,8人,投资/理财服务,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-西城区,全职,不限,大专,7人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-丰台区,全职,无经验,硕士,9人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,无经验,硕士,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,本科,5人,数据分析师,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-大兴区,全职,不限,大专,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,1-3年,本科,3人,投资银行财务分析,100-499人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,不限,本科,10人,证券/投资客户经理,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,深圳,全职,不限,不限,5人,金融产品销售,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,10人,综合业务专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/投资客户代表,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-崇文区,全职,不限,本科,8人,股票/期货操盘手,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-西城区,全职,1-3年,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,1-3年,本科,1人,数据分析师,1000-9999人,民营,信托/担保/拍卖/典当
4001-6000元/月,苏州,全职,不限,不限,5人,数据库开发工程师,1000-9999人,上市公司,计算机软件
8001-10000元/月,北京-丰台区,全职,不限,大专,5人,股票/期货操盘手,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,6人,市场总监,100-499人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,8人,投资/理财服务,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,7人,风险管理/控制/稽查,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,4人,证券/投资客户代表,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,市场专员/助理,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京,全职,1-3年,大专,6人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
15001-20000元/月,北京-朝阳区,全职,1-3年,大专,2人,数据分析师,500-999人,合资,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,6人,证券分析/金融研究,500-999人,股份制企业,互联网/电子商务
8001-10000元/月,北京-崇文区,全职,不限,大专,7人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,6人,证券分析/金融研究,500-999人,股份制企业,互联网/电子商务
6001-8000元/月,北京-东城区,全职,1年以下,大专,4人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,不限,本科,8人,理财顾问/财务规划师,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-东城区,全职,不限,不限,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-东城区,全职,不限,大专,3人,证券分析/金融研究,保密,保密,保密
6001-8000元/月,北京-朝阳区,全职,不限,不限,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,本科,5人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-大兴区,全职,不限,大专,5人,物流专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-丰台区,全职,1-3年,本科,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,不限,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,1-3年,大专,12人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,7人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,7人,助理/秘书/文员,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,大专,4人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,不限,5人,网店店长,100-499人,合资,互联网/电子商务
6001-8000元/月,北京,全职,不限,中技,2人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,本科,1人,证券/期货/外汇经纪人,20-99人,股份制企业,基金/证券/期货/投资
6000-10000元/月,北京-崇文区,全职,不限,大专,6人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-丰台区,全职,不限,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京-海淀区,全职,不限,不限,6人,投资/理财服务,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,大专,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,南京,全职,无经验,大专,1人,股票/期货操盘手,100-499人,民营,基金/证券/期货/投资
6001-8000元/月,深圳-罗湖区,全职,无经验,大专,5人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,6人,资产评估,500-999人,股份制企业,基金/证券/期货/投资
12000-18000元/月,北京,全职,3-5年,本科,1人,其他,100-499人,民营,互联网/电子商务
4001-6000元/月,上海-虹口区,全职,不限,不限,1人,调研员,500-999人,上市公司,专业服务/咨询(财会/法律/人力资源等)
10001-15000元/月,北京-东城区,全职,不限,不限,9人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,8人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,1-3年,本科,7人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-丰台区,全职,不限,不限,7人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-丰台区,全职,1年以下,本科,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,不限,5人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,1-3年,大专,5人,公关专员/助理,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,4人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,本科,6人,投资银行财务分析,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-崇文区,全职,1年以下,博士,10人,销售代表,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,广州-白云区,全职,3-5年,本科,5人,数据库开发工程师,100-499人,民营,互联网/电子商务
6001-8000元/月,成都-金牛区,全职,不限,本科,3人,软件工程师,10000人以上,民营,计算机软件
8001-10000元/月,北京-朝阳区,全职,不限,大专,7人,市场调研与分析,500-999人,股份制企业,基金/证券/期货/投资
6000-12000元/月,北京-朝阳区,全职,不限,不限,9人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,不限,不限,6人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,不限,大专,10人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,5人,市场专员/助理,500-999人,股份制企业,基金/证券/期货/投资
4001-6000元/月,天津,全职,不限,不限,3人,数据分析师,100-499人,民营,IT服务(系统/数据/维护)
8001-10000元/月,南京,全职,不限,不限,15人,专业顾问,100-499人,民营,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,5人,销售数据分析,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,不限,本科,4人,数据分析师,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-大兴区,全职,不限,大专,5人,销售代表,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,8人,助理/秘书/文员,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,济南-历下区,全职,1-3年,大专,3人,证券/期货/外汇经纪人,20-99人,合资,基金/证券/期货/投资
10000-18000元/月,常州,全职,5-10年,大专,2人,系统分析员,1000-9999人,上市公司,计算机软件
8001-10000元/月,北京-朝阳区,全职,不限,大专,5人,资金专员,100-499人,股份制企业,基金/证券/期货/投资
面议,佛山,全职,5-10年,本科,1人,其他,10000人以上,上市公司,物业管理/商业中心
15000-30000元/月,北京-朝阳区,全职,3-5年,本科,1人,其他,1000-9999人,上市公司,互联网/电子商务
10001-15000元/月,北京-朝阳区,全职,不限,不限,1人,证券分析/金融研究,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,3人,培训师/讲师,100-499人,股份制企业,基金/证券/期货/投资
15000-25000元/月,北京-朝阳区,全职,3-5年,不限,2人,数据运营,10000人以上,股份制企业,互联网/电子商务
10001-15000元/月,北京-朝阳区,全职,不限,大专,10人,金融/经济研究员,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,4人,证券/投资客户代表,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,本科,5人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京-大兴区,全职,不限,大专,5人,珠宝/收藏品鉴定,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1年以下,中专,5人,金融产品经理,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,5人,金融/经济研究员,100-499人,股份制企业,基金/证券/期货/投资
2001-4000元/月,成都,全职,不限,大专,3人,数据库开发工程师,100-499人,上市公司,计算机软件
面议,北京,全职,3-5年,本科,1人,系统分析员,10000人以上,民营,通信/电信运营、增值服务
3000-5500元/月,贵阳-南明区,全职,不限,大专,3人,数据库开发工程师,500-999人,民营,计算机软件
15001-20000元/月,北京,全职,1-3年,大专,1人,数据分析师,500-999人,合资,基金/证券/期货/投资
15001-20000元/月,北京-朝阳区,全职,1-3年,大专,1人,咨询顾问/咨询员,500-999人,合资,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,1人,数据分析师,500-999人,合资,基金/证券/期货/投资
15001-20000元/月,北京,全职,1-3年,大专,1人,咨询顾问/咨询员,500-999人,合资,基金/证券/期货/投资
15001-20000元/月,北京,全职,不限,硕士,3人,算法工程师,1000-9999人,上市公司,互联网/电子商务
8001-10000元/月,北京,全职,1-3年,大专,6人,培训/招生/课程顾问,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,9人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,1人,房地产销售/置业顾问,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,9人,生产文员,100-499人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,1-3年,大专,9人,预订员,100-499人,股份制企业,基金/证券/期货/投资
面议,深圳,全职,无经验,,若干,其他,10000人以上,民营,IT服务(系统/数据/维护)
6001-8000元/月,北京-宣武区,全职,不限,大专,6人,证券分析/金融研究,500-999人,股份制企业,互联网/电子商务
8001-10000元/月,北京-丰台区,全职,不限,大专,5人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6001-8000元/月,深圳,校园,不限,大专,5人,实习生,100-499人,民营,基金/证券/期货/投资
6001-8000元/月,深圳-罗湖区,全职,不限,大专,6人,证券/期货/外汇经纪人,100-499人,合资,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,1-3年,大专,5人,项目专员/助理,100-499人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,本科,6人,证券/投资项目管理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,上海,全职,1-3年,硕士,1人,业务分析专员/助理,1000-9999人,合资,互联网/电子商务
10001-15000元/月,北京-朝阳区,全职,1-3年,本科,7人,数据分析师,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,南京,全职,无经验,高中,15人,股票/期货操盘手,100-499人,民营,基金/证券/期货/投资
10001-15000元/月,北京-朝阳区,全职,1-3年,大专,5人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,不限,1人,证券分析/金融研究,100-499人,民营,基金/证券/期货/投资
8001-10000元/月,北京-朝阳区,全职,1-3年,本科,7人,证券/投资项目管理,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,5人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,深圳,全职,不限,不限,5人,证券分析/金融研究,100-499人,民营,基金/证券/期货/投资
15001-20000元/月,北京,全职,不限,本科,8人,证券/投资客户代表,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京,全职,不限,大专,6人,数据分析师,500-999人,股份制企业,互联网/电子商务
8001-10000元/月,北京-大兴区,全职,不限,大专,5人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,5人,公关经理/主管,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,不限,6人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-大兴区,全职,不限,本科,16人,投资/理财服务,500-999人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,7人,资产评估,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京,全职,不限,大专,4人,市场调研与分析,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,不限,不限,4人,行政专员/助理,500-999人,股份制企业,基金/证券/期货/投资
20001-30000元/月,北京-大兴区,全职,3-5年,硕士,1人,数据运营,1000-9999人,股份制企业,计算机软件
6001-8000元/月,北京,全职,不限,大专,7人,综合业务专员/助理,500-999人,股份制企业,基金/证券/期货/投资
8000-15000元/月,北京,全职,不限,不限,6人,投资银行财务分析,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,北京-朝阳区,全职,1年以下,本科,10人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
6001-8000元/月,青岛,全职,不限,大专,3人,财务分析员,100-499人,股份制企业,计算机软件
8001-10000元/月,北京-西城区,全职,不限,大专,8人,证券/期货/外汇经纪人,500-999人,股份制企业,基金/证券/期货/投资
8001-10000元/月,北京-东城区,全职,不限,大专,5人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
10001-15000元/月,北京-石景山区,全职,1年以下,本科,1人,数据分析师,20-99人,民营,IT服务(系统/数据/维护)
