职位月薪,工作地点,工作性质,工作经验,最低学历,招聘人数,职位类别,公司规模,公司性质,公司行业
4001-6000元/月,成都-武侯区,全职,1年以下,不限,1人,房地产项目策划专员/助理,1000-9999人,外商独资,房地产/建筑/建材/工程
6001-8000元/月,太原,全职,不限,本科,10人,证券/期货/外汇经纪人,100-499人,民营,基金/证券/期货/投资
4000-7000元/月,南京,全职,1年以下,大专,1人,数据运营,20-99人,民营,互联网/电子商务
20001-30000元/月,北京,全职,1-3年,硕士,2人,系统架构设计师,1000-9999人,上市公司,计算机软件
8001-10000元/月,北京-海淀区,全职,不限,不限,20人,股票/期货操盘手,保密,保密,保密
6001-8000元/月,长沙,全职,不限,大专,3人,数据分析师,100-499人,民营,IT服务(系统/数据/维护)
8001-10000元/月,北京,全职,1年以下,大专,1人,证券分析/金融研究,100-499人,民营,基金/证券/期货/投资
13000-25000元/月,北京,全职,3-5年,本科,2人,数据分析师,1000-9999人,上市公司,互联网/电子商务
5000-8000元/月,郑州,全职,不限,大专,1人,数据库开发工程师,20-99人,民营,计算机软件
6000-10000元/月,北京-西城区,全职,1-3年,本科,1人,数据分析师,20-99人,民营,专业服务/咨询(财会/法律/人力资源等)
6000-10000元/月,福州,全职,不限,大专,5人,数据库管理员,100-499人,民营,IT服务(系统/数据/维护)
4001-6000元/月,西安,全职,不限,大专,7人,数据运营,500-999人,上市公司,互联网/电子商务
6001-8000元/月,深圳,全职,不限,大专,8人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
6000-10000元/月,长沙,全职,不限,大专,2人,化学分析,100-499人,民营,IT服务(系统/数据/维护)
8000-15000元/月,北京,全职,不限,本科,6人,证券分析/金融研究,500-999人,股份制企业,基金/证券/期货/投资
4001-6000元/月,西安,全职,无经验,大专,3人,临床数据分析员,1000-9999人,上市公司,计算机软件
10001-15000元/月,北京-朝阳区,全职,1-3年,本科,1人,互联网软件工程师,500-999人,其它,互联网/电子商务
20000-30000元/月,北京-朝阳区,全职,3-5年,本科,1人,数据运营,500-999人,其它,互联网/电子商务
8000-12000元/月,长沙,全职,不限,大专,2人,数据分析师,100-499人,民营,IT服务(系统/数据/维护)
4001-6000元/月,成都-武侯区,全职,1-3年,本科,2人,数据分析师,10000人以上,民营,房地产/建筑/建材/工程
8001-10000元/月,南京,全职,不限,大专,1人,证券/期货/外汇经纪人,100-499人,股份制企业,基金/证券/期货/投资
10000-20000元/月,深圳,全职,不限,不限,1人,系统分析员,1000-9999人,民营,计算机软件
6000-8000元/月,哈尔滨,全职,3-5年,大专,2人,IT技术支持/维护工程师,100-499人,上市公司,通信/电信/网络设备
6001-8000元/月,北京-东城区,全职,不限,大专,3人,证券分析/金融研究,保密,保密,保密
3000-4500元/月,太原,全职,1-3年,本科,3人,数据分析师,20-99人,民营,IT服务(系统/数据/维护)
6000-12000元/月,乌鲁木齐,全职,1-3年,本科,2人,数据分析师,100-499人,股份制企业,IT服务(系统/数据/维护)
4001-6000元/月,济南-高新区,全职,不限,大专,10人,系统分析员,100-499人,民营,互联网/电子商务
4001-6000元/月,厦门,全职,不限,大专,1人,数据库开发工程师,20-99人,民营,互联网/电子商务
4001-6000元/月,西安,全职,1年以下,大专,4人,临床数据分析员,1000-9999人,上市公司,计算机软件
14000-17000元/月,上海,全职,3-5年,本科,2人,其他,10000人以上,民营,耐用消费品（服饰/纺织/皮革/家具/家电）
6000-10000元/月,长沙,全职,不限,大专,4人,数据分析师,100-499人,民营,IT服务(系统/数据/维护)
12500-25000元/月,杭州,全职,不限,本科,2人,需求工程师,10000人以上,合资,物流/仓储
